index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-11-16,138.2100067138672,0.0,16.44278335571289,0.0,0.0,0.0,0.0073902836279812045,0.012485527517023996,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012485527517023996,0.0,0.0,0.0,0,0.0,0.0
2019-11-17,138.2100067138672,0.0,16.44278335571289,0.0,0.0,0.0,0.007386862146838667,0.012482344673524848,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012482344673524848,0.0,0.0,0.0,0,0.0,0.0
2019-11-18,138.6199951171875,0.0029664162029099383,16.3978328704834,-0.002733751595278111,0.005700167798188049,0.005700167798188049,0.007387395772986046,0.012336479536830956,1,0,0.0,10,0.10901532185300478,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012336479536830956,0.0,0.0,0.0,0,0.0,0.0
2019-11-19,138.69000244140625,0.0005050304911609071,16.469751358032227,0.004385853186629429,-0.003880822695468522,0.003880822695468522,0.007369210339532404,0.012240076084466164,0,0,0.0,10,1.0312842315984991,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012240076084466164,0.0,0.0,0.0,0,0.0,0.0
2019-11-20,138.75999450683594,0.0005046655432805469,16.325910568237305,-0.008733634568488524,0.009238300111769071,0.009238300111769071,0.007369204799723762,0.012244890772086865,1,0,0.0,10,2.0361253067661083,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012244890772086865,0.0,0.0,0.0,0,0.0,0.0
2019-11-21,138.0,-0.005477043362080103,16.25399398803711,-0.004405057831206816,-0.0010719855308732873,0.0010719855308732873,0.0073837133045639766,0.012249433169776492,0,0,0.0,10,0.09472976140754626,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012249433169776492,0.0,0.0,0.0,0,0.0,0.0
2019-11-22,137.74000549316406,-0.0018840181654777854,16.280960083007812,0.0016590442318700216,-0.003543062397347807,0.003543062397347807,0.007386108697101132,0.0122500226439889,0,0,0.0,10,0.10408611397531507,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0122500226439889,0.0,0.0,0.0,0,0.0,0.0
2019-11-23,137.74000549316406,0.0,16.280960083007812,0.0,0.0,0.0,0.007386108697101132,0.0122500226439889,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0122500226439889,0.0,0.0,0.0,0,0.0,0.0
2019-11-24,137.74000549316406,0.0,16.280960083007812,0.0,0.0,0.0,0.007378245669641165,0.012240398473255242,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012240398473255242,0.0,0.0,0.0,0,0.0,0.0
2019-11-25,137.0800018310547,-0.004791662812458131,16.451772689819336,0.010491556145377334,-0.015283218957835465,0.015283218957835465,0.007389760735155754,0.01226426696796814,0,1,1.0,10,0.2627799699011346,3.0,-10.0,-411.24000549316406,164.51772689819336,0.0,0.0,Opened,-411.24000549316406,164.51772689819336,0.0,0.01226426696796814,575.7577323913574,0.0,0.0,0,0.0,575.7577323913574
