index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-08-28,554.7257690429688,-0.005805267884070098,557.2260131835938,-0.005844112640185806,3.8844756115707924e-05,3.8844756115707924e-05,0.0028274540502018844,0.003005362043811744,1,0,0.0,5,1.0112286245826452,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.003005362043811744,0.0,0.0,0.0,0,0.0,0.0
2024-08-29,554.775390625,8.945245524993872e-05,557.3153076171875,0.00016024814255088948,-7.079568730095076e-05,7.079568730095076e-05,0.0028384972141149768,0.003024411750663398,0,0,0.0,5,1.7996353810874772,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.003024411750663398,0.0,0.0,0.0,0,0.0,0.0
2024-08-30,560.0712890625,0.009546022637258123,562.5762939453125,0.0094398740824444,0.0001061485548137231,0.0001061485548137231,0.005718691701564222,0.0057690527639865825,1,0,0.0,5,0.9933032562164622,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0057690527639865825,0.0,0.0,0.0,0,0.0,0.0
2024-08-31,560.0712890625,0.0,562.5762939453125,0.0,0.0,0.0,0.005506956103984894,0.005486234411450494,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005506956103984894,0.0,0.0,0.0,0,0.0,0.0
2024-09-01,560.0712890625,0.0,562.5762939453125,0.0,0.0,0.0,0.005520452601161793,0.005487919303127089,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005520452601161793,0.0,0.0,0.0,0,0.0,0.0
2024-09-02,560.0712890625,0.0,562.5762939453125,0.0,0.0,0.0,0.004259286145621288,0.004204296398109515,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004259286145621288,0.0,0.0,0.0,0,0.0,0.0
2024-09-03,548.5455932617188,-0.02057897990106594,551.1708984375,-0.020273508909924298,-0.0003054709911416431,0.0003054709911416431,0.011071085456748562,0.010916190469872586,0,0,0.0,5,0.9898710608428656,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011071085456748562,0.0,0.0,0.0,0,0.0,0.0
2024-09-04,547.4228515625,-0.0020467609493365346,550.0194091796875,-0.0020891691870467133,4.2408237710178653e-05,4.2408237710178653e-05,0.009018021046026259,0.008879216140503845,1,0,0.0,5,1.0255612006126105,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009018021046026259,0.0,0.0,0.0,0,0.0,0.0
2024-09-05,546.0914306640625,-0.0024321617094303916,548.4907836914062,-0.0027792209925120437,0.0003470592830816521,0.0003470592830816521,0.008775240147617158,0.008612212880162612,1,0,0.0,5,1.1477164531090271,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008775240147617158,0.0,0.0,0.0,0,0.0,0.0
2024-09-06,536.9005737304688,-0.016830252989718963,539.3684692382812,-0.01663166405774541,-0.00019858893197355343,0.00019858893197355343,0.009564687074890084,0.009363626360346572,0,0,0.0,5,0.9927428009372719,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009564687074890084,0.0,0.0,0.0,0,0.0,0.0
2024-09-07,536.9005737304688,0.0,539.3684692382812,0.0,0.0,0.0,0.009564687074890084,0.009363626360346572,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009564687074890084,0.0,0.0,0.0,0,0.0,0.0
2024-09-08,536.9005737304688,0.0,539.3684692382812,0.0,0.0,0.0,0.0071159304257926645,0.0070044714309079265,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0071159304257926645,0.0,0.0,0.0,0,0.0,0.0
2024-09-09,542.9118041992188,0.011196170693175134,545.4235229492188,0.011226191474426939,-3.0020781251804962e-05,3.0020781251804962e-05,0.010018909696128288,0.009962000952235546,0,0,0.0,5,1.0073201330712882,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.010018909696128288,0.0,0.0,0.0,0,0.0,0.0
2024-09-10,545.2766723632812,0.004355897487899663,547.4385986328125,0.003694515543990029,0.0006613819439096336,0.0006613819439096336,0.01033511907929389,0.010194405262899043,1,0,0.0,5,0.8515268460208159,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01033511907929389,0.0,0.0,0.0,0,0.0,0.0
2024-09-11,550.8705444335938,0.010258777523102447,553.3447875976562,0.010788769698727885,-0.0005299921756254378,0.0005299921756254378,0.005392834277802055,0.005565045667458305,0,0,0.0,5,1.0563858697911872,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005565045667458305,0.0,0.0,0.0,0,0.0,0.0
