Date,GC=F_Close,GC=F_dailyReturns,GLD_Close,GLD_dailyReturns,spread,abs_sprd,GC=F_rolling avg,GLD_rolling avg,isSprdPos,signal,axe,leverage,ratio,GC=F_Size,GLD_Size,GC=F_Cashflow,GLD_Cashflow,GC=F_MTM,GLD_MTM,Live Trades,GC=F_PnL,GLD_PnL,Total PnL,Gross Capital
2024-05-15,2388.699951171875,0.014999596453186603,220.88999938964844,0.012838750510223873,0.0021608459429627302,0.0021608459429627302,0.011580485802778638,0.01055512572423389,1,0,0.0,5,0.07915122446911092,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-16,2380.0,-0.0036421280821004043,220.02999877929688,-0.0038933433506626036,0.00025121526856219933,0.00025121526856219933,0.012340025973220127,0.010023692131866083,1,0,0.0,5,0.09882627595725141,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-17,2412.199951171875,0.013529391248686906,223.66000366210938,0.0164977725898805,-0.0029683813411935933,0.0029683813411935933,0.012008111303086952,0.0116851950650515,0,0,0.0,5,0.1130634101194841,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-20,2433.89990234375,0.008995917258572517,224.55999755859375,0.004023937591649318,0.004971979666923199,0.004971979666923199,0.0073505297260062835,0.00794106645688811,1,0,0.0,5,0.04127009474043853,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-21,2421.699951171875,-0.005012511467758718,224.22999572753906,-0.001469548604570936,-0.003542962863187782,0.003542962863187782,0.009495403780867722,0.008856452638454988,0,0,0.0,5,0.027145756625961373,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-22,2389.199951171875,-0.013420324835978548,220.11000061035156,-0.01837396956557802,0.004953644729599471,0.004953644729599471,0.010982097702643254,0.012661176758956255,1,0,0.0,5,0.12613256935448655,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-23,2335.0,-0.022685397739645285,215.72000122070312,-0.019944570339717638,-0.002740827399927648,0.002740827399927648,0.01512191488707915,0.015424640385797557,0,0,0.0,5,0.08122352173497865,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-24,2332.5,-0.0010706638115631772,215.9199981689453,0.0009271136061119734,-0.0019977774176751506,0.0019977774176751506,0.012057940502732331,0.01131233835660262,0,0,0.0,5,0.08015877034823127,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-28,2355.199951171875,0.009732026225884205,218.19000244140625,0.010513172896031486,-0.0007811466701472813,0.0007811466701472813,0.012298644364249179,0.013116925944944218,0,0,0.0,5,0.10007776540903246,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-29,2340.300048828125,-0.006326385297492965,216.16000366210938,-0.009303812074716977,0.0029774267772240126,0.0029774267772240126,0.01227315715221185,0.012956731207039721,1,0,0.0,5,0.1358341872764167,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
